07/02/2026,TIM HORTONS #4521 TORONTO ON,6.56,,35741.58
07/06/2026,WEALTHSIMPLE INVESTMENTS TFSA,500.00,,35241.58
07/09/2026,METRO #742 TORONTO ON,65.50,,35176.08
07/10/2026,ROGERS COMMUNICATIONS PREAUTH,72.32,,35103.76
07/11/2026,WISE PAYMENTS CANADA INR,656.34,,34447.42
07/13/2026,INTERNET BANKING E-TRANSFER RENT,2150.00,,32297.42
07/13/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,36447.42
07/17/2026,TIM HORTONS #4521 TORONTO ON,4.15,,36443.27
07/19/2026,PRESTO/METROLINX TORONTO ON,156.00,,36287.27
07/20/2026,PAYROLL DEPOSIT POLYAI CANADA,,4150.00,40437.27
07/27/2026,TORONTO HYDRO PREAUTH,93.89,,40343.38
07/28/2026,TIM HORTONS #4521 TORONTO ON,7.55,,40335.83
